date,open,high,low,close
2024-11-26 13:00:00,1.05237,1.05269,1.05001,1.05036
2024-11-26 14:00:00,1.05036,1.05062,1.04897,1.05026
2024-11-26 15:00:00,1.05027,1.05103,1.04784,1.04798
2024-11-26 16:00:00,1.04799,1.04865,1.04636,1.04804
2024-11-26 17:00:00,1.04801,1.04809,1.04641,1.04705
2024-11-26 18:00:00,1.04706,1.04747,1.0457,1.04649
2024-11-26 19:00:00,1.04654,1.04811,1.0458,1.04726
2024-11-26 20:00:00,1.04729,1.04823,1.04716,1.04809
2024-11-26 21:00:00,1.0481,1.04905,1.04809,1.04887
2024-11-26 22:00:00,1.04874,1.04888,1.04842,1.04876
2024-11-26 23:00:00,1.04872,1.0492,1.04861,1.04916
2024-11-27 00:00:00,1.04923,1.04969,1.04885,1.04895
2024-11-27 01:00:00,1.04893,1.0493,1.04845,1.04868
2024-11-27 02:00:00,1.04867,1.04885,1.04812,1.04858
2024-11-27 03:00:00,1.04858,1.04861,1.04776,1.04829
2024-11-27 04:00:00,1.04829,1.04842,1.04772,1.04787
2024-11-27 05:00:00,1.04787,1.04802,1.04742,1.04772
2024-11-27 06:00:00,1.04768,1.04865,1.04752,1.04801
2024-11-27 07:00:00,1.04798,1.05054,1.04798,1.04982
2024-11-27 08:00:00,1.04984,1.05405,1.04961,1.05143
2024-11-27 09:00:00,1.05139,1.05189,1.0509,1.05166
2024-11-27 10:00:00,1.05165,1.05308,1.05125,1.05276
2024-11-27 11:00:00,1.05277,1.05308,1.05103,1.05262
2024-11-27 12:00:00,1.05261,1.05381,1.05199,1.0528
2024-11-27 13:00:00,1.05278,1.0574,1.05269,1.0573
2024-11-27 14:00:00,1.05728,1.05788,1.0548,1.05557
2024-11-27 15:00:00,1.05568,1.058,1.05329,1.05707
2024-11-27 16:00:00,1.05705,1.05849,1.05548,1.05741
2024-11-27 17:00:00,1.05741,1.05878,1.05714,1.05768
2024-11-27 18:00:00,1.05763,1.0579,1.05653,1.05662
2024-11-27 19:00:00,1.05664,1.05711,1.05604,1.05628
2024-11-27 20:00:00,1.0563,1.05669,1.05592,1.05653
2024-11-27 21:00:00,1.05655,1.05686,1.05626,1.05662
2024-11-27 22:00:00,1.05654,1.05703,1.05646,1.05676
2024-11-27 23:00:00,1.05675,1.05699,1.05607,1.0562
2024-11-28 00:00:00,1.056,1.05625,1.0551,1.05521
2024-11-28 01:00:00,1.05519,1.05632,1.05473,1.05573
2024-11-28 02:00:00,1.05574,1.05613,1.05511,1.05573
2024-11-28 03:00:00,1.05573,1.05583,1.05499,1.05522
2024-11-28 04:00:00,1.05523,1.05575,1.05488,1.05549
2024-11-28 05:00:00,1.05548,1.05584,1.05495,1.05498
2024-11-28 06:00:00,1.05501,1.05521,1.05427,1.05485
2024-11-28 07:00:00,1.05485,1.05554,1.05317,1.05414
2024-11-28 08:00:00,1.05408,1.05497,1.05275,1.05444
2024-11-28 09:00:00,1.05443,1.05567,1.05308,1.05321
2024-11-28 10:00:00,1.05319,1.05508,1.05299,1.05505
2024-11-28 11:00:00,1.05507,1.05566,1.05455,1.05501
2024-11-28 12:00:00,1.05501,1.05541,1.05438,1.05451
2024-11-28 13:00:00,1.05451,1.0548,1.05302,1.0534
2024-11-28 14:00:00,1.05341,1.05497,1.05313,1.0549
2024-11-28 15:00:00,1.05492,1.05574,1.05417,1.05524
2024-11-28 16:00:00,1.05525,1.0555,1.05474,1.05542
2024-11-28 17:00:00,1.05539,1.05559,1.05503,1.05528
2024-11-28 18:00:00,1.05529,1.05571,1.05519,1.05556
2024-11-28 19:00:00,1.05554,1.05572,1.05539,1.05565
2024-11-28 20:00:00,1.05566,1.05575,1.05537,1.0555
2024-11-28 21:00:00,1.0555,1.05571,1.05516,1.05516
2024-11-28 22:00:00,1.05517,1.05563,1.05449,1.05531
2024-11-28 23:00:00,1.05532,1.05624,1.0553,1.05607
2024-11-29 00:00:00,1.05608,1.05719,1.05585,1.05626
2024-11-29 01:00:00,1.05627,1.05751,1.05564,1.05599
2024-11-29 02:00:00,1.05602,1.05742,1.05589,1.0571
2024-11-29 03:00:00,1.05709,1.05761,1.05659,1.05739
2024-11-29 04:00:00,1.05739,1.0577,1.05682,1.05699
2024-11-29 05:00:00,1.057,1.05743,1.05662,1.0568
2024-11-29 06:00:00,1.05683,1.05808,1.05651,1.05801
2024-11-29 07:00:00,1.05804,1.05974,1.05753,1.05792
2024-11-29 08:00:00,1.05797,1.05823,1.05638,1.057
2024-11-29 09:00:00,1.05697,1.05816,1.05518,1.05577
2024-11-29 10:00:00,1.05577,1.05735,1.05564,1.05649
2024-11-29 11:00:00,1.05645,1.05681,1.05549,1.05626
2024-11-29 12:00:00,1.05627,1.05659,1.0548,1.05644
2024-11-29 13:00:00,1.05645,1.05686,1.05552,1.05628
2024-11-29 14:00:00,1.05627,1.05648,1.05452,1.05532
2024-11-29 15:00:00,1.05532,1.0568,1.05459,1.05613
2024-11-29 16:00:00,1.05613,1.05634,1.05414,1.05468
2024-11-29 17:00:00,1.05463,1.05681,1.05436,1.05673
2024-11-29 18:00:00,1.05676,1.05783,1.05674,1.05755
2024-11-29 19:00:00,1.05754,1.05801,1.05722,1.05795
2024-11-29 20:00:00,1.05796,1.05847,1.05783,1.05823
2024-11-29 21:00:00,1.05826,1.05834,1.05753,1.05774
2024-12-01 22:00:00,1.05705,1.05715,1.0562,1.05638
2024-12-01 23:00:00,1.05636,1.05666,1.05334,1.05445
2024-12-02 00:00:00,1.05456,1.05463,1.05313,1.05362
2024-12-02 01:00:00,1.05361,1.05394,1.05279,1.05306
2024-12-02 02:00:00,1.05306,1.05323,1.05198,1.05255
2024-12-02 03:00:00,1.05254,1.05272,1.05199,1.05235
2024-12-02 04:00:00,1.05235,1.05294,1.05188,1.05234
2024-12-02 05:00:00,1.05235,1.05286,1.0515,1.05219
2024-12-02 06:00:00,1.05221,1.05364,1.05211,1.05331
2024-12-02 07:00:00,1.05331,1.05375,1.0502,1.05031
2024-12-02 08:00:00,1.05028,1.05126,1.04959,1.05023
2024-12-02 09:00:00,1.05021,1.05195,1.0502,1.05138
2024-12-02 10:00:00,1.05135,1.05243,1.05063,1.05218
2024-12-02 11:00:00,1.0522,1.05288,1.05202,1.05233
2024-12-02 12:00:00,1.05233,1.05383,1.04949,1.05013
